powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct,unemployment_rate,wage_index,unemployment_category,wage_category,social_risk_score
221000,Powiat wałbrzyski,2024,2389.0,52275.0,430.0,121.57,25132.0,27143.0,92.59,7584.0,15872.0,14797.0,-381.0,-0.72,4570.06,45.7,0.1451,0.3036,0.2831,suburban,medium,1126.9600000000005,32.73,11.7,83.0,medium,medium_low,0.6970288135783216
222000,Powiat wołowski,2024,1326.0,45112.0,675.0,66.83,22058.0,23054.0,95.68,6613.0,13640.0,12214.0,-346.0,-0.76,2939.35,29.39,0.1466,0.3024,0.2707,rural,medium,-787.1700000000001,-21.12,10.5,109.6,medium,high,-1.8787888639612194
223000,Powiat wrocławski,2024,4877.0,191110.0,1118.0,170.94,93741.0,97369.0,96.27,27511.0,68754.0,39591.0,3957.0,2.11,2551.93,25.52,0.144,0.3598,0.2072,suburban,very_large,-163.5,-6.02,1.5,104.6,very_low,high,-3.090627968895971
224000,Powiat ząbkowicki,2024,1379.0,59803.0,802.0,74.57,28970.0,30833.0,93.96,8769.0,17689.0,16849.0,-759.0,-1.25,2305.9,23.06,0.1466,0.2958,0.2817,rural,medium,-61.92000000000007,-2.62,10.4,85.6,medium,medium_low,0.22782992686406167
225000,Powiat zgorzelecki,2024,4981.0,84337.0,839.0,100.52,40806.0,43531.0,93.74,12321.0,25651.0,23540.0,-802.0,-0.94,5906.07,59.06,0.1461,0.3041,0.2791,suburban,large,-234.48000000000047,-3.82,5.4,90.8,low,medium_high,-1.15178064440272
226000,Powiat złotoryjski,2024,1546.0,40213.0,576.0,69.81,19633.0,20580.0,95.4,5956.0,12206.0,11141.0,-403.0,-0.99,3844.53,38.45,0.1481,0.3035,0.277,rural,medium,-759.5700000000002,-16.5,13.9,93.7,medium,medium_high,0.15407686017172395
261000,Powiat m. Jelenia Góra,2024,5025.0,74194.0,109.0,680.68,34316.0,39878.0,86.05,9029.0,22146.0,20442.0,-930.0,-1.24,6772.78,67.73,0.1217,0.2985,0.2755,urban,large,-283.5500000000002,-4.02,4.1,95.9,very_low,medium_high,-1.8423339745963436
262000,Powiat m. Legnica,2024,7560.0,90823.0,56.0,1621.84,42739.0,48084.0,88.88,12153.0,27492.0,24412.0,-1125.0,-1.22,8323.88,83.24,0.1338,0.3027,0.2688,metro,large,735.8999999999996,9.7,4.7,91.9,very_low,medium_high,-1.3778636655697993
264000,Powiat m. Wrocław,2024,32669.0,672882.0,293.0,2296.53,316595.0,356287.0,88.86,98039.0,246198.0,137825.0,-861.0,-0.13,4855.09,48.55,0.1457,0.3659,0.2048,metro,very_large,-780.5900000000001,-13.85,1.7,109.2,very_low,high,-3.461152411744809
265000,Powiat m. Wałbrzych od 2013,2024,6196.0,98748.0,85.0,1161.74,46261.0,52487.0,88.14,12508.0,29335.0,28349.0,-1546.0,-1.54,6274.56,62.75,0.1267,0.2971,0.2871,metro,large,-1026.9699999999991,-14.07,5.1,100.3,low,high,-2.048079129354078
