powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct
0226000,Powiat złotoryjski,2024,867.0,40213.0,576.0,69.81,19633.0,20580.0,95.4,5956.0,12206.0,11141.0,-403.0,-0.99,2156.02,21.56,0.1481,0.3035,0.277,rural,medium,-507.9499999999998,-19.07
0261000,Powiat m. Jelenia Góra,2024,2321.0,74194.0,109.0,680.68,34316.0,39878.0,86.05,9029.0,22146.0,20442.0,-930.0,-1.24,3128.29,31.28,0.1217,0.2985,0.2755,urban,large,-405.8699999999999,-11.48
0262000,Powiat m. Legnica,2024,4704.0,90823.0,56.0,1621.84,42739.0,48084.0,88.88,12153.0,27492.0,24412.0,-1125.0,-1.22,5179.3,51.79,0.1338,0.3027,0.2688,metro,large,748.5299999999997,16.89
0264000,Powiat m. Wrocław,2024,17984.0,672882.0,293.0,2296.53,316595.0,356287.0,88.86,98039.0,246198.0,137825.0,-861.0,-0.13,2672.68,26.73,0.1457,0.3659,0.2048,metro,very_large,-347.1700000000001,-11.5
0265000,Powiat m. Wałbrzych od 2013,2024,3656.0,98748.0,85.0,1161.74,46261.0,52487.0,88.14,12508.0,29335.0,28349.0,-1546.0,-1.54,3702.35,37.02,0.1267,0.2971,0.2871,metro,large,-972.9000000000001,-20.81
0400000,KUJAWSKO-POMORSKIE,2024,36182.0,,,,,,,,,,,,,,,,,,,,
0401000,Powiat aleksandrowski,2024,1084.0,53086.0,475.0,111.76,25817.0,27269.0,94.68,8533.0,15290.0,14195.0,-372.0,-0.7,2041.97,20.42,0.1607,0.288,0.2674,suburban,medium,-524.53,-20.44
0402000,Powiat brodnicki,2024,1072.0,77345.0,1040.0,74.37,38356.0,38989.0,98.38,12898.0,23612.0,19023.0,-446.0,-0.57,1386.0,13.86,0.1668,0.3053,0.2459,rural,large,-231.1500000000001,-14.29
0403000,Powiat bydgoski,2024,1503.0,127915.0,1394.0,91.76,63373.0,64542.0,98.19,21262.0,40411.0,31859.0,934.0,0.74,1175.0,11.75,0.1662,0.3159,0.2491,rural,very_large,-84.24000000000001,-6.69
0404000,Powiat chełmiński,2024,1720.0,48715.0,527.0,92.44,23789.0,24926.0,95.44,8098.0,14653.0,12861.0,-408.0,-0.83,3530.74,35.31,0.1662,0.3008,0.264,rural,medium,2038.5699999999997,136.62
